listing_id,amen_balcony,amen_security,amen_covered_parking,amen_view_of_landmark,amen_shared_gym,amen_lobby_in_building,amen_central_a_c,amen_kitchen_appliances,amen_built_in_wardrobes,amen_shared_spa,amen_shared_pool,amen_walk_in_closet,amen_study,amen_children_s_pool,amen_view_of_water,amen_private_garden,amen_maids_room,amen_private_pool,amen_networked,amen_dining_in_building
ZCDDDK8KCHESZ6HGT8R4RR09B8,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0
QG3E439Z2Y95H1PXRZ878N58T0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
PFZT4ST2V0FD3GFQJHZ0X4WQ40,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
BWSKMG483GSF7DM7AB3T5PPJFG,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
0T9J1XNPJZ52A9KQYXZ0A3W9X4,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
7CD6XJPJ60HGENPKCVM0G93QSC,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBG61EWWEP6ASEG1H5P6PZWZB8,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
MJ631VNVBCYSH2GAHR0YSAB7KW,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
107E8BZ39BD517VKTZYTMPS648,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1J4ZC85VY0B0J0QKSP98QWJ2X0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90YDXRJV0GR90D4YEQ3MMFSE3C,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CQWFF25MKJAX3D4Q0CX5BZA5DW,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
09TTBH7Z6KZT8F7MJRFYEFVQ24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22XNRAGZM53XTR8C0GMCKW87F0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
8JQ6W4ZTQXHQQSJBA14JK54Y88,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0
AXQ1AT6WJZ1SQ8HQ145J3BJFCM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
RWEN5GMBHKGNNAAZSF7GHZ8NCC,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ZZVX1WZRJETX15GTZ23JKP7AZ4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2JGSVNJNF88M74YFAWJ206JZG,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
9HVBYCB25E8AE9THT6A9VBNDQ8,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0
EENVS4TB7VZ0YBE642K12RNPJM,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
PBW4JGAEC91M54W7S7DFKGGJ18,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9KPRZ6H1MH0B1RDR111RHTZJ64,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9AFHHAHT66Z5BM98KZC5PHKCNG,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
202Y9TPRQE0M4KHP1ACMDXWPY0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
EDPMDVYCH4N90WK7B6EMPBRRZM,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB9NGGEH8GT576DPXD43ZE0S8,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
FX9C1ZHRN8KTK8TC4VY66DY2Y8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K6Q323PWTQ59HB3NJY112NFXXW,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
903YHCSB5YPH69GV6C7MHV0GBG,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
97YYV8EQYBYQFYD945RX0XCEMW,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
D8VTHRTFYGTKA5YYFEHKNKZMR8,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0
2NBBHG4V8RK0952B1T4N55PD10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YP2EDVC2RKQSMV0ZP3WTRXNME8,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
BTE3BF1TR1EBAS099FZSV35VXC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
BN1SFYSKH389JENQXF14BPAEJG,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
GHTQG6P7EPARBN0PQZ8QWNP2W0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
410QJ58113G8JH9F22H108B6CW,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
74VBCSEPFBW94Z0KWQ89FWMGZ8,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0
HJAN4YM8DZ36C86YBM1MPKY1EM,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TJW2ZV0RT65JFJ8X51SZ2PD5XG,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Y40DQDVX4604GBM4FG98JGC2HW,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPQQ9BDW3S5CXFSW4TPK5H0YHM,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
5KHNX53MMFRDZGW0WJ33YK2Y44,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6WEWTVRBHZ1WWX49A9R2R9HJCC,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZKR6E50JYQQE8GNNEPV2WKQY6M,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9018S87W43HNSTKAXZR9JR9T30,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QDWJEXA4Q21VGH27YZN2PZFRNR,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
V2BA30XQY3PB6FQR43D8NRJD54,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
HZJ6XCK0FSCSE8HJRPHABW8JDG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
R22T1DMPPEGQVFZ210HY929P8M,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0
DBVM34092FMFK9KJ57SH86Q1MM,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0
CV7DEP9S0YQ78BG3648XWEBTBM,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7AG22DJ8FDJJFZ4EWHC3AY7424,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
JDVHYNDZ4EWY78NDFK8B1EMF5M,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
BXV47FS1GHGQZ4D06CEBT1P0FC,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
827RM8341C4FZ6E16DWMFDKXBR,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
